2018-02-27T11:07:46.986Z - info: Iniciando Serviço de Obtenção dos arquivos dos REPs: 
2018-02-27T11:07:46.989Z - info: #Iniciando request:  2018-02-27T11:07:46.987Z
2018-02-27T11:07:46.990Z - info: #Request Número:  0
2018-02-27T11:07:55.995Z - info: Ultima NSR processada:  000005956
2018-02-27T11:07:55.996Z - info: NSR calculada para início da leitura:  000005806
2018-02-27T11:07:55.996Z - info: Hora do readFile!
2018-02-27T11:07:56.001Z - info: Encontrou , ativando busca 
2018-02-27T11:07:56.003Z - info: Quantidade de marcações:  165
2018-02-27T11:07:56.003Z - info: hashMapSize:  65
2018-02-27T11:07:56.015Z - info: itemsProcessed:  65
2018-02-27T11:07:56.015Z - warn: ## Terminou tudo, chamaria o callback ##
2018-02-27T11:08:00.184Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.224Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.226Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.228Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.229Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.335Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.336Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.339Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.340Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.483Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:00.527Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.306Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.311Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.313Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.314Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.317Z - info: ## Vai criar o apontamento:  2018-02-27T03:00:00.000Z
2018-02-27T11:08:01.320Z - info: ## Apontamento atualizado com sucesso 2018-02-23T03:00:00.000Z
2018-02-27T11:08:01.321Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:01.322Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:01.323Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:01.323Z - info: ## Apontamento atualizado com sucesso 2018-02-26T03:00:00.000Z
2018-02-27T11:08:01.324Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:01.324Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
2018-02-27T11:08:01.325Z - info: ## Apontamento atualizado com sucesso 2018-02-25T03:00:00.000Z
2018-02-27T11:08:01.326Z - info: ## Apontamento atualizado com sucesso 2018-02-24T03:00:00.000Z
